Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“Blues Brothers 2000”,"Dan Aykroyd, John Goodman, Aretha Franklin, James Brown (I), Eric Clapton",Universal Pictures,1998,118 min.,248,
“Boat Trip”,"Cuba Gooding Jr., Horatio Sanz, Roselyn Sanchez, Vivica A. Fox, Roger Moore, Lin Shaye, Richard Roundtree, Bob Gunton, Will Ferrell",MPCA,2002,90 min.,,21
“Bob Roberts”,"Tim Robbins, Susan Sarandon, Fred Ward, James Spader, John Cusack, Helen Hunt",Polygram Films,1992,95 min.,306,584
“Body Switch – Verhexte Küsse”,"Alec Baldwin, Meg Ryan, Ned Beatty",20th Century Fox,1992,101 min.,266,305
“Bodyguard”,"Kevin Costner, Whitney Houston, Mike Starr (I), Gerry Bamman, Robert Wuhl, Richard Schiff",Warner Bros.,1992,124 min.,381,Kauf
“Boiling Point”,"Wesley Snipes, Dennis Hopper",Warner Bros.,1993,87 min.,338,
“Bones”,"Snoop Dogg, Pam Grier",New Line Cinema,2001,92 min.,481,
“Boogie Nights”,"Burt Reynolds, Mark Wahlberg, Luis Guzman, Don Cheadle, Joanna Gleason, Robert Ridgely, Don Amendolia, Alfred Molina",New Line Cinema,1997,145 min.,54,
“Boomerang”,"Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier, Martin Lawrence, Grace Jones, Chris Rock, John Witherspoon",Paramount Pictures,1992,111 min.,427,651
“Bordertown”,"Jennifer Lopez, Antonio Banderas, Martin Sheen, Sonia Braga",Capitol Films,2006,107 min.,,993
“Born to be Wild – Saumäßig unterwegs”,"Tim Allen, John Travolta, Martin Lawrence, William H. Macy, Ray Liotta, Marisa Tomei, Kevin Durand, Stephen Tobolowsky, John C. McGinley, Peter Fonda",Touchstone Pictures,2007,95 min.,,953
“Born Yesterday – Blondinen küsst man nicht”,"Melanie Griffith, John Goodman, Don Johnson",Hollywood Pictures,1993,96 min.,307,
“Bounce – Eine Chance für die Liebe”,"Ben Affleck, Gwyneth Paltrow, Joe Morton, Johnny Galecki, Natasha Henstridge, Tony Goldwyn, David Paymer, Edward Edwards, Don Amendolia",Miramax Films,2000,102 min.,416,Kauf
"""Bowling for Columbine""","Michael Moore, Charlton Heston, Marilyn Manson, Matt Stone",United Artists,2002,114 min.,122,522
“Bram Stoker’s Dracula”,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves, Cary Elwes",Columbia Pictures,1992,122 min.,304,1615
