Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“Fear and Loathing in Las Vegas”,"Johnny Depp, Benicio Del Toro, Tobey Maguire, Gary Busey, Christina Ricci, Cameron Diaz, Mark Harmon, Richard Riehle, Troy Evans",Universal Pictures,1998,110 min.,321,
“Fegefeuer der Eitelkeiten”,"Tom Hanks, Bruce Willis, Melanie Griffith, Morgan Freeman, Kim Cattrall, Kevin Dunn (I), F. Murray Abraham, Kirsten Dunst, Saul Rubinek, Kurt Fuller",Warner Bros.,1990,118 min.,299,
“Ferris macht blau”,"Matthew Broderick, Alan Ruck, Jeffrey Jones, Charlie Sheen, Kristy Swanson, John Hughes",Paramount Pictures,1986,98 min.,468,65
"“Feuer, Eis & Dosenbier”","Axel Stein, Rick Kavanian, Eva Habermann, Christoph M. Ohrt, Andreas Elsholz, Hans Martin Stier",Warner Bros.,2002,80 min.,458,
“Fight Club”,"Brad Pitt, Edward Norton, Helena Bonham Carter, Meat Loaf, Jared Leto",20th Century Fox,1999,133 min.,329,1353
“Final Destination 2”,"Ali Larter, Michael Landes, Tony Todd",New Line Cinema,2003,86 min.,,80
“Final Fantasy – Die Mächte in dir”,,Columbia Pictures,2001,102 min.,441,
“Findet Nemo”,,Walt Disney Pictures,2003,97 min.,,55
“Firefox”,"Clint Eastwood, Kenneth Colley, Klaus Löwitsch",Warner Bros.,1982,119 min.,135,
“Flammen am Horizont”,"Sean Connery, John Saxon, Henry Silva, Leslie Nielsen, Hardy Krüger, Jennifer Jason Leigh",Columbia Pictures,1982,112 min.,480,1489
“Flashback”,"Dennis Hopper, Kiefer Sutherland, Paul Dooley, Richard Masur, Penelope Ann Miller",Paramount Pictures,1990,103 min.,375,4
“Flesh and Bone – Ein blutiges Erbe”,"Dennis Quaid, Meg Ryan, Gwyneth Paltrow, James Caan",Paramount Pictures,1993,120 min.,,238
“Flight Girls”,"Gwyneth Paltrow, Christina Applegate, Mike Myers, Rob Lowe, Jon Polito, Troy Evans, George Kennedy, Stephen Tobolowsky",Miramax Films,2003,83 min.,,109
“Flintstones – Die Familie Feuerstein”,"John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O’Donnell, Kyle MacLachlan, Halle Berry, Elizabeth Taylor, Jay Leno, Sam Raimi, Joseph Barbera, William Hanna",Universal Pictures,1994,87 min.,,740
“Flodder Forever – Eine Familie zum Knutschen”,,Unbekannt,1995,119 min.,248,
“Flubber”,"Robin Williams, Will Wheaton",Walt Disney Pictures,1997,90 min.,252,1433
“Fluch der Karibik”,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",Walt Disney Pictures,2003,137 min.,,104/ Kauf
“Flucht aus Absolom”,"Ray Liotta, Lance Henriksen, Kevin Dillon, Kevin J. O’Connor, Ian McNeice, Michael Lerner, Ernie Hudson",Columbia Pictures,1994,111 min.,456,
“Flug durch die Hölle”,"Danny Glover, Willem Dafoe, Rosanna Arquette, Tom Sizemore, Ving Rhames, David Schwimmer, Fred Dalton Thompson",Paramount Pictures,1991,109 min.,,124
“Focus”,"Will Smith, Margot Robbie, Rodrigo Santoro, BD Wong",Warner Bros.,2015,103 min.,,
“Forever Young”,"Mel Gibson, Elijah Wood, Jamie Lee Curtis, Joe Morton, Robert Hy Gorman",Warner Bros.,1992,95 min.,384,Kauf
“Forgetting Sarah Marshall”,"Jason Segel, Kristen Bell, Mila Kunis, Bill Hader, Branscombe Richmond, William Baldwin, Jason Bateman, Gedde Watanabe",Universal Pictures,2008,106 min.,,1193
“Forrest Gump”,"Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field, Haley Joel Osment",Paramount Pictures,1994,135 min.,307,887
“Forrester – Gefunden!”,"Sean Connery, F. Murray Abraham, Anna Paquin, Busta Rhymes, Matt Damon, Gus Van Sant",Columbia Pictures,2000,130 min.,,
“Fortress – Die Festung”,"Christopher Lambert, Kurtwood Smith, Jeffrey Combs",Dimension Films,1993,87 min.,312,1264
“Fortress 2: Die Festung”,"Christopher Lambert, Pam Grier",TriStar Pictures,1999,88 min.,456,549
“Frankie und Johnny”,"Al Pacino, Michelle Pfeiffer, Hector Elizondo, Glenn Plummer",Paramount Pictures,1991,112 min.,,88
“Frantic”,"Harrison Ford, Emmanuelle Seigner, David Huddleston",Warner Bros.,1988,114 min.,360,Kauf
“Freaky Friday – Ein voll verrückter Freitag”,"Jamie Lee Curtis, Lindsay Lohan, Mark Harmon, Harold Gould, Stephen Tobolowsky, Rosalind Chao, Marc McClure, Mary Ellen Trainor",Walt Disney Pictures,2003,93 min.,,264
“Free Money”,"Marlon Brando, Charlie Sheen, Thomas Haden Church, Mira Sorvino, Donald Sutherland, David Arquette, Martin Sheen",Filmline International,1998,90 min.,503,359
“Freejack”,"Emilio Estevez, Mick Jagger, Rene Russo, Anthony Hopkins, Frankie Faison, John Shea, Jerry Hall, Mike Starr",Warner Bros.,1992,103 min.,,Kauf
“Fremde Schatten”,"Melanie Griffith, Matthew Modine, Michael Keaton, Laurie Metcalf, Beverly D’Angelo, Dorian Harewood, Tracey Walter",20th Century Fox,1990,98 min.,369,
“French Kiss”,"Meg Ryan, Kevin Kline, Timothy Hutton, Jean Reno",Polygram Films/20th Century Fox,1995,106 min.,,1058
“Frequency”,"Dennis Quaid, James Caviezel",New Line Cinema,2000,113 min.,500,1220
“Freshman”,"Marlon Brando, Matthew Broderick, Bruno Kirby, Penelope Ann Miller, Frank Whaley, Jon Polito, Maximilian Schell",TriStar,1990,98 min.,,
“Friedhof der Kuscheltiere”,"Dale Midkiff, Fred Gwynne, Denise Crosby, Stephen King",Paramount Pictures,1989,97 min.,,Digital Copy
“From Dusk till Dawn”,"George Clooney, Harvey Keitel, Quentin Tarantino, Juliette Lewis, Salma Hayek, Cheech Marin, Danny Trejo, John Saxon",Dimension Films,1996,"99 min. (uncut), 97 min. (cut)","208 (uncut),",1374
“From Hell”,"Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane, Ian McNeice",20th Century Fox,2001,117 min.,461,Kauf
“From Paris with Love”,"John Travolta, Jonathan Rhys Meyers, Luc Besson, Kelly Preston",Lionsgate,2010,88 min.,,Digital Copy
“Frozen Ground”,"Nicolas Cage, Vanessa Hudgens, John Cusack, Kevin Dunn, Radha Mitchell, 50 Cent, Kurt Fuller",Lionsgate,2013,101 min.,,Digital Copy
“Full Metal Jacket”,"Matthew Modine, Adam Baldwin, Vincent D’Onofrio, Dorian Harewood",Warner Bros.,1987,111 min.,303,Kauf
"""Fünf Männer sind vier zuviel""","Kristen Bell, Josh Duhamel, Anjelica Huston, Jon Heder, Danny DeVito, Don Johnson",Touchstone Pictures,2010,87 min.,,1448
“Funny Farm”,Chevy Chase,Warner Bros.,1988,96 min.,15,864
“Galaxy Quest – Planlos durchs Weltall”,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub",DreamWorks Pictures,1999,99 min.,347,
“Gale Force – Die 10-Millionen-Dollar Falle”,"Treat Williams, Michael Dudikoff",Phoenician Entertainment,2002,92 min.,,
“Gangs of New York”,"Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent, John C. Reilly, Henry Thomas, Liam Neeson, Brendan Gleeson, Martin Scorsese",Miramax Films,2002,160 min.,,72
“Geboren am 4ten Juli”,"Tom Cruise, Kyra Sedgwick, Frank Whaley, Stephen Baldwin, Tom Berenger, Ed Lauter, Oliver Stone, John Getz, William Baldwin, Bob Gunton, Mike Starr, Willem Dafoe, Tom Sizemore, Michael Wincott, John C. McGinley, Wayne Knight, Daniel Baldwin",Universal Pictures,1989,137 min.,494,Kauf
“Gefährliche Brandung”,"Keanu Reeves, Patrick Swayze, Gary Busey, John C. McGinley",20th Century Fox,1991,116 min.,510,
“Gefährliche Freundin” (s. “Something Wild”),,,,,,
“Gegen jede Chance”,"Jeff Bridges, James Woods, Richard Widmark, Dorian Harewood, Saul Rubinek",Columbia Pictures,1984,116 min.,219,669
“Gegen jede Regel”,"Denzel Washington, Will Patton",Walt Disney Pictures,2000,109 min.,501,
“Geheimauftrag Hollywood”,"Chevy Chase, Carrie Fisher",Warner Bros./Orion Pictures,1981,93 min.,247,
“Geklonte Zukunft”,"Leonard Nimoy, Miguel Ferrer",Universal Pictures,1998,87 min.,296,
“Genug – Enough”,"Jennifer Lopez, Juliette Lewis, Fred Ward, Bill Cobbs, Bruce A. Young, Bruce French",Columbia Pictures,2002,111 min.,,3
"“George, der aus dem Dschungel kam”",Brendan Fraser,Walt Disney Pictures,1997,88 min.,255,1357
“Geschenkt ist noch zu teuer”,"Tom Hanks, Shelley Long, Alexander Godunov, Joe Mantegna, Philip Bosco, Brian Backer, Mike Starr, Frankie Faison, Michael Jeter",Universal Pictures,1986,87 min.,,1079
“Get Carter – Die Wahrheit tut weh”,"Sylvester Stallone, Rachel Leigh Cook, John C. McGinley, Mickey Rourke, Michael Caine",Warner Bros.,2000,98 min.,474,Kauf
“Get the Dog – Verrückt nach Liebe”,"David Spade, Sophie Marceau, Martin Sheen, Jon Lovitz",Warner Bros.,1999,95 min.,335,976
“Getaway”,"Alec Baldwin, Kim Basinger, Michael Madsen, James Woods, David Morse, Jennifer Tilly, Philip Seymour Hoffman, Richard Farnsworth, Burton Gilliam",Universal Pictures,1994,111 min.,417,
“Ghost – Nachricht von Sam”,"Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn, Vincent Schiavelli, Rick Aviles",Paramount Pictures,1990,121 min.,388,125
“Ghost Ship”,"Gabriel Byrne, Ron Eldard, Isaiah Washington",Warner Bros.,2002,87 min.,,27
“Ghostbusters”,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis, Ernie Hudson, William Atherton, Reginald VelJohnson",Columbia Pictures,1984,101 min.,339,553
“Ghostbusters II”,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis, Ernie Hudson, Peter MacNicol, Wilhelm von Homburg, Harris Yulin, Kurt Fuller, Mary Ellen Trainor, Cheech Marin, Brian Doyle-Murray, Philip Baker Hall, Kevin Dunn (I)",Columbia Pictures,1989,104 min.,451,748
“Gladiator”,"Russell Crowe, Joaquin Phoenix, Ralph Moeller, Richard Harris",Universal Pictures/ DreamWorks Pictures,2000,149 min.,409,Kauf (BD + DVD)
“Glauben ist alles”,"Ben Stiller, Edward Norton, Jenna Elfman, Anne Bancroft, Eli Wallach, Milos Forman, Brian George (I), Bodhi Elfman",Touchstone Pictures,2000,123 min.,,1088
“Gnadenlos”,"Richard Gere, Kim Basinger, George Dzundza, William Atherton, Leon Rippy",TriStar,1986,103 min.,396,
“God’s Army II – Die Prophezeiung”,"Christopher Walken, Jennifer Beals, Brittany Murphy, Glenn Danzig, John Hertzler",Dimension Films/ Miramax Films,1998,80 min.,505,
“God’s Army III – Die Entscheidung”,"Christopher Walken, Vincent Spano, Brad Dourif",Dimension Films/ Miramax Films,2000,80 min.,383,
“Godzilla”,"Jean Reno, Kevin Dunn (I)",TriStar,1998,132 min.,260,Kauf (BD)
“Good Advice”,"Charlie Sheen, Angie Harmon, Denise Richards, Jon Lovitz, Rosanna Arquette, John de Lancie, Pete Gardner, Art Metrano",Home Box Office (HBO),2001,89 min.,,Digital Copy
“Good Bye Lenin!”,Daniel Brühl,Westdeutscher Rundfunk/arte,2003,116 min.,,78
“Good Fellas – Drei Jahrzehnte in der Mafia”,"Ray Liotta, Robert De Niro, Joe Pesci, Paul Sorvino, Samuel L. Jackson",Warner Bros.,1990,139 min.,377,Kauf (BD)
“Good Vibrations – Sex vom andern Stern”,"Garry Shandling, Annette Bening, John Goodman, Greg Kinnear, Ben Kingsley, Richard Jenkins (I), Linda Fiorentino",Columbia Pictures,2000,99 min.,391,
“Good Will Hunting”,"Matt Damon, Robin Williams, Ben Affleck, Casey Affleck",Miramax Films,1997,121 min.,364,1019
“Gosford Park”,"Maggie Smith, Michael Gambon, Kristin Scott Thomas, Charles Dance, Ryan Phillippe, Clive Owen, Helen Mirren, Alan Bates, Richard E. Grant",USA Films,2001,132 min.,,34
“Gottes Werk & Teufels Beitrag”,"Tobey Maguire, Charlize Theron, Delroy Lindo, Michael Caine, Kieran Culkin",Miramax Films,1999,120 min.,,1254
“Grabgeflüster – Liebe versetzt Särge”,"Brenda Blethyn, Alfred Molina, Christopher Walken, Naomi Watts, Lee Evans, Jerry Springer",Miramax Films,2002,93 min.,,116/ Kauf
"""Grand Canyon – Im Herzen der Stadt""","Danny Glover, Kevin Kline, Steve Martin, Mary McDonnell, Mary-Louise Parker, Alfre Woodard, Branscombe Richmond, Jack Kehler, Mary Ellen Trainor",20th Century Fox,1991,128 min.,,246
“Grasgeflüster”,"Branda Blethyn, Paul Brooke",20th Century Fox,2000,90 min.,489,Kauf
“Gremlins – Kleine Monster”,"Zach Galligan, Phoebe Cates, Dick Miller (I), Corey Feldman, Judge Reinhold, Jerry Goldsmith, Steven Spielberg",Warner Bros.,1984,101 min.,79,
“Gremlins 2 – Die Rückkehr der kleinen Monster”,"Zach Galligan, Phoebe Cates, John Glover, Robert Prosky, Robert Picardo, Christopher Lee, Dick Miller, Jackie Joseph, Gedde Watanabe, Kathleen Freeman, Jerry Goldsmith, Rick Ducommun, John Capodice, Hulk Hogan, Bubba Smith",Warner Bros.,1990,102 min.,460,
"“Greystoke – Die Legende von Tarzen, Herr der Affen”","Christopher Lambert, Andie Mac Dowell",Warner Bros.,1984,129 min.,443,
“Guess Who”,"Ashton Kutcher, Bernie Mac, Nicole Sullivan, David Kurmholtz",Columbia Pictures,2005,101 min.,,480
“Half Baked – Völlig high und durchgeknallt”,Dave Chappelle,Universal Pictures,1998,78 min.,252,Kauf
"“Hallo, Mr. President”","Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, David Paymer, Richard Dreyfuss, Wendie Malick, Anne Haney, Ron Canada",Universal Pictures/ Columbia Pictures/ Castle Rock Entertainment,1995,109 min.,,1142
“Hals über Kopf”,"Monica Potter, Freddie Prinze Jr.",Universal Pictures,2001,83 min.,522,Kauf
“Hamlet”,"Ethan Hawke, Kyle MacLachlan, Sam Shepard, Bill Murray, Liev Schreiber, Julia Stiles, Steve Zahn, Jeffrey Wright, Casey Affleck",Miramax Films,2000,107 min.,,
“Hangover”,"Bradley Cooper, Justin Bartha, Heather Graham, Jeffrey Tambor, Mike Tyson",Warner Bros.,2009,96 min.,,Kauf
"""Hangover 2""","Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Ken Jeong, Paul Giamatti, Mike Tyson, Jeffrey Tambor, Nick Cassavetes",Warner Bros.,2011,98 min.,,Kauf
“Hannibal”,"Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta",Universal Pictures/ Metro Goldwyn Mayer,2001,126 min.,422,Kauf
“Hannibal Rising”,"Dominic West, Rhys Ifans",Metro-Goldwyn-Mayer/Tobis,2007,117 min.,,Kauf
“Hard Ball”,"Keanu Reeves, Diane Lane",Paramount Pictures,2001,102 min.,482,
“Hard Cash – Die Killer vom FBI”,"Christian Slater, Val Kilmer, Daryl Hannah, William Forsythe, Verne Troyer",Millennium Films,2002,94 min.,,
“Hard Rain”,"Morgan Freeman, Christian Slater, Randy Quaid, Minnie Driver, Betty White (I)",Paramount Pictures/ Polygram Films,1998,93 min.,367,766
“Harley Davidson and the Marlboro Man”,"Mickey Rourke, Don Johnson, Daniel Baldwin, Vanessa L. Williams, Tia Carrere, Tom Sizemore",Metro Goldwyn Mayer,1991,95 min.,301,Kauf
“Harry außer sich”,"Woody Allen, Tobey Maguire, Robin Williams, Kirstie Alley, Mariel Hemingway, Demi Moore, Stanley Tucci, Elisabeth Shue, Jennifer Garner, Billy Crystal, Paul Giamatti",Fine Line Features,1997,92 min.,471,
“Harry und Sally”,"Billy Crystal, Meg Ryan, Carrie Fisher",Columbia Pictures/ Castle Rock Entertainment,1989,90 min.,276,
“Hart auf Sendung”,Christian Slater,New Line Cinema,1990,98 min.,266,
“Harte Jungs – Bad Boys”,"Martin Lawrence, Will Smith, Téa Leoni, Joe Pantoliano, Marg Helgenberger, Kim Coates",Columbia Pictures,1995,111 min.,453,Kauf
“Harte Ziele”,"Jean-Claude Van Damme, Lance Henriksen, Arnold Vosloo, Ted Raimi, Wilford Brimley",Universal Pictures,1993,74 min.,,1093
“Haunted Hill”,"Geoffrey Rush, Famke Janssen, Taye Diggs, Peter Gallagher, Chris Kattan, Ali Larter, Jeffrey Combs, Peter Graves",Warner Bros.,1999,89 min.,,276
"""Haywire""","Channing Tatum, Michael Douglas, Antonio Banderas, Ewan McGregor, Michael Fassbender, Bill Paxton",Relativity Media,2011,89 min.,,1777
“Head of State”,"Chris Rock, Bernie Mac, Dylan Baker, James Rebhorn, Keith David, Robert Stanton",DreamWorks Pictures,2003,91 min.,,128
“Heartbreakers – Achtung: Scharfe Kurven!”,"Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Gene Hackman, Anne Bancroft, Jeffrey Jones, Carrie Fisher, Elya Baskin",Metro Goldwyn Mayer,2001,113 min.,432,
“Hearts in Atlantis”,"Anthony Hopkins, David Morse",Warner Bros.,2001,97 min.,466,
“Heat”,"Al Pacino, Robert De Niro, Val Kilmer, Tom Sizemore, Jon Voight, Ashley Judd, Natalie Portman, William Fichtner, Mykelti Williamson, Danny Trejo",Warner Bros.,1995,163 min.,386,
“Heißblütig – Kaltblütig”,"William Hurt, Kathleen Turner, Ted Danson, Richard Crenna, Mickey Rourke",Warner Bros.,1981,108 min.,431,1112
“Heist – Der letzte Coup”,"Gene Hackman, Danny DeVito, Delroy Lindo, Sam Rockwell",Warner Bros.,2001,104 min.,87,1577
“Helden aus der zweiten Reihe”,"Keanu Reeves, Gene Hackman, Brooke Langton, Orlando Jones, Jon Favreau, Michael Jace, Rhys Ifans, John Madden, Jack Warden, Keith David",Warner Bros.,2000,113 min.,482,1101
“Helden der Nacht”,"Joaquin Phoenix, Eva Mendes, Mark Wahlberg, Robert Duvall",Columbia Pictures/ Universal Pictures,2007,112 min.,,1139
“Hexen hexen”,"Anjelica Huston, Rowan Atkinson",Warner Bros.,1989,87 min.,405,
“High Crimes – Im Netz der Lügen”,"Ashley Judd, Morgan Freeman, James Caviezel, Amanda Peet, John Billingsley",20th Century Fox,2002,111 min.,495,7
“High Fidelity”,"John Cusack, Jack Black (I), Joan Cusack, Catherine Zeta-Jones, Tim Robbins, Lisa Bonet, Sara Gilbert (I), Bruce Springsteen",Touchstone Pictures,2000,105 min.,492,
“High School High”,"Jon Lovitz, Tia Carrere, Louise Fletcher",TriStar,1996,82 min.,222,
“Highlander II – Die Rückkehr”,"Christopher Lambert, Sean Connery, Virginia Madsen, Michael Ironside, John C. McGinley",Interstar,1991,95 min.,,1119
“Highlander – Endgame”,"Christopher Lambert, Adrian Paul, Lisa Barbuscia",Dimension Films/ Miramax Films,2000,84 min.,401,1268
"“Hilfe, die Amis kommen”","Chevy Chase, Beverly D’Angelo, Eric Idle, Willy Millowitsch",Warner Bros.,1985,90 min.,282,
“Hochzeit mit Hindernissen”,Steve Guttenberg,Paramount Pictures,1983,105 min.,245,653
“Hollow Man – Unsichtbare Gefahr”,"Kevin Bacon, Elisabeth Shue, Josh Brolin, Kim Dickens, William Devane",Columbia Pictures,2000,108 min.,392,Kauf (BD)
“Hollywood Cops”,"Harrison Ford, Josh Hartnett, Lena Olin, Bruce Greenwood, Isaiah Washington, Lolita Davidovich, Keith David, Martin Landau, Clyde Kusatsu, Eric Idle, Robert Wagner",Columbia Pictures,2003,111 min.,,119
“Honeymoon in Vegas – Aber nicht mit meiner Braut”,"Nicolas Cage, Sarah Jessica Parker, Burton Gilliam",Columbia Pictures,1992,91 min.,279,678
“Hook”,"Robin Williams, Dustin Hoffman, Julia Roberts, Bob Hoskins, Maggie Smith, Phil Collins, Don S. Davis, Gwyneth Paltrow, Glenn Close, Carrie Fisher, George Lucas, Bruce Mahler",TriStar,1991,136 min.,,1116
“Hot Shots! Die Mutter aller Filme”,"Charlie Sheen, Cary Elwes, Kevin Dunn (I), Lloyd Bridges",20th Century Fox,1991,81 min.,269,99
“Hot Shots! Der 2. Versuch”,"Charlie Sheen, Lloyd Bridges, Richard Crenna, Miguel Ferrer, Rowan Atkinson, Mitch Ryan, Andreas Katsulas, Clyde Kusatsu, Martin Sheen",20th Century Fox,1993,84 min.,292,Kauf
“Housesitter – Lügen haben schöne Beine”,"Steve Martin, Goldie Hawn, Donald Moffat, Peter MacNicol",Universal Pictures,1992,97 min.,516,902
“How to Lose a Guy in 10 Days”,"Matthew McConaughey, Kate Hudson, Bebe Neuwirth",Paramount Pictures,2003,111 min.,,84
“Hudson Hawk – Der Meisterdieb”,"Bruce Willis, Andie MacDowell, Danny Aiello, James Coburn, Richard E. Grant, David Caruso",TriStar,1991,96 min.,440,1732
“Hunting Party – Wenn der Jäger zum Gejagten wird”,"Richard Gere, Terrence Howard, James Brolin, Diane Kruger",The Weinstein Company/Metro-Goldwyn-Mayer,2007,99 min.,,1092
"“I, Robot”","Will Smith, Bridget Moynahan, Alan Tudyk, James Cromwell, Bruce Greenwood, Chi McBride",20th Century Fox,2004,110 min.,,361
“I Spy”,"Eddie Murphy, Owen Wilson, Famke Janssen, Malcolm McDowell",Columbia Pictures,2002,93 min.,,10
“Ice Age”,,20th Century Fox,2002,78 min.,483,Kauf
"""Ice Age 2 – Jetzt taut's""",,20th Century Fox,2006,87 min.,,761
"“Ich, beide & sie”","Jim Carrey, Renée Zellweger, Chris Cooper (I), Richard Jenkins (I), Anna Kournikova, Richard Tyson",20th Century Fox,2000,111 min.,397,
“Ich bin Du”,"Judge Reinhold, Fred Savage, Corinne Bohrer, David Proval, Richard Kind",Columbia Pictures,1988,94 min.,357,668
"“Ich, Du und der Andere”","Owen Wilson, Kate Hudson, Matt Dillon, Michael Douglas, Seth Rogen",Universal Pictures,2006,105 min.,,763
